emotion_joy,emotion_anger,emotion_sadness,emotion_fear,sentiment_score,no_of_words
0.29157 ,0.12522 ,0.30323 ,0.13195 ,-0.18339 ,8 
0.43493 ,0.10082 ,0.19938 ,0.15113 ,0.01705 ,12 
0.53256 ,0.10701 ,0.20197 ,0.03376 ,0.00000 ,5 
0.40573 ,0.09100 ,0.25883 ,0.06745 ,-0.15115 ,20 
0.37609 ,0.10199 ,0.42592 ,0.09410 ,-0.00876 ,10 
0.50832 ,0.08242 ,0.13081 ,0.07788 ,0.35175 ,13 
0.19951 ,0.16288 ,0.41501 ,0.18078 ,-0.55172 ,9 
0.35103 ,0.14748 ,0.33748 ,0.09758 ,-0.07122 ,24 
0.45701 ,0.13438 ,0.21299 ,0.08902 ,-0.01533 ,13 
0.37372 ,0.47093 ,0.16497 ,0.04963 ,-0.64472 ,32 
0.38140 ,0.08019 ,0.22174 ,0.17058 ,-0.10777 ,12 
0.48982 ,0.04270 ,0.26884 ,0.12214 ,-0.02611 ,9 
0.44083 ,0.07518 ,0.23970 ,0.10345 ,0.12070 ,14 
0.22125 ,0.09139 ,0.35803 ,0.20616 ,-0.06990 ,13 
0.23115 ,0.10117 ,0.36576 ,0.23238 ,-0.08691 ,17 
0.42073 ,0.11458 ,0.20909 ,0.08560 ,-0.09699 ,12 
0.81135 ,0.01743 ,0.02472 ,0.03311 ,0.96178 ,6 
0.03841 ,0.18985 ,0.56583 ,0.16053 ,-0.75635 ,12 
0.41768 ,0.07053 ,0.30268 ,0.11993 ,-0.09893 ,11 
0.92054 ,0.01385 ,0.04114 ,0.00673 ,-0.43806 ,7 
0.32860 ,0.16108 ,0.28868 ,0.12868 ,-0.08206 ,17 
0.57520 ,0.03679 ,0.26525 ,0.10593 ,-0.04676 ,7 
0.25822 ,0.10557 ,0.56256 ,0.12797 ,-0.53571 ,18 
0.49220 ,0.08634 ,0.14093 ,0.06078 ,0.21552 ,9 
0.27383 ,0.15589 ,0.39457 ,0.18559 ,-0.76886 ,36 
0.31389 ,0.11708 ,0.31450 ,0.15122 ,-0.08409 ,18 
0.31721 ,0.09641 ,0.25855 ,0.11662 ,-0.17238 ,10 
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
