joy_ave,joy_max,anger_ave,anger_max,sad_ave,sad_max,fear_ave,fear_max,score,words,posts,
0.2916,0.7169,0.1252,0.4647,0.3032,0.9186,0.132,0.3128,-0.1834,7.73,15,
0.2338,0.6783,0.1643,0.5869,0.3043,0.6896,0.2141,0.6677,-0.3436,12.07,16.57,
0.0384,0.0488,0.1898,0.3626,0.5658,0.7682,0.1605,0.1997,-0.7564,11.75,2,
0.4207,0.8511,0.1146,0.2755,0.2091,0.4518,0.0856,0.1769,-0.097,11.6,3.86,
0.2311,0.6969,0.1012,0.3677,0.3658,0.8073,0.2324,0.6052,-0.0869,17.17,3.6,
0.218,0.912,0.0918,0.931,0.3595,0.9766,0.207,0.931,-0.0736,12.81,41.75,
0.2618,0.6223,0.1024,0.3125,0.3274,0.5171,0.1442,0.4684,-0.0993,16.67,16.71,
0.4898,0.943,0.0427,0.0869,0.2688,0.7609,0.1221,0.3891,-0.0261,9.2,4.4,
0.3814,0.8925,0.0802,0.3011,0.2217,0.5556,0.1706,0.921,-0.1078,11.67,7,
0.2151,0.3737,0.223,0.4709,0.2587,0.5829,0.1289,0.3488,-0.2631,12.13,16.25,
0.351,0.9226,0.1475,0.7,0.3375,0.8387,0.0976,0.3785,-0.0712,24.23,11,
0.1995,0.1995,0.1629,0.1629,0.415,0.415,0.1808,0.1808,-0.5517,9,1.4,
0.2232,0.5499,0.1646,0.4898,0.2701,0.5834,0.1438,0.2892,-0.1349,15,4.7,
0.3761,0.7825,0.102,0.2873,0.4259,0.7818,0.0941,0.2645,-0.0088,9.63,1.57,
0.1806,0.4965,0.1412,0.3581,0.3,0.6221,0.0896,0.1577,-0.8072,23.33,2.86,
0.2827,0.561,0.0496,0.0839,0.4652,0.7206,0.1929,0.365,-0.5236,6.25,19.8,
0.2291,0.7364,0.1812,0.6898,0.3322,0.8184,0.1511,0.6157,-0.1671,17.55,11.75,
0.3121,0.8183,0.0817,0.2524,0.3633,0.8518,0.1478,0.3727,-0.2765,9.42,4.14,
0.2686,0.8239,0.1261,0.931,0.3381,0.9167,0.1632,0.931,-0.152,18.11,9.38,
0.2738,0.6025,0.1559,0.4076,0.3946,0.2951,0.1856,0.7616,-0.7689,36.2,19.28,
0.1499,0.5864,0.1475,0.7944,0.2049,0.4876,0.0909,0.2048,-0.1319,6.25,6.71,
